,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
235,-0.024093611659136416,-0.03915629595746808,0.0018337296795746497,0.03379395837198332,138,3,11.0,534.0,0.0,2.7,3.75,0.868599036215379,0.581087203147976
236,0.0026074039618429715,0.02229464637960332,-0.017374103765345195,-0.026957152401210174,139,1,10.0,605.0,0.0,2.7,3.9166666666666665,-0.456435464587638,0.787295821622217
237,-0.006418782006810068,-0.09823347192164737,-0.16468986287336135,0.03157046595568684,139,2,9.0,531.0,1.0,3.1,4.0,-0.375,0.666666666666667
240,-0.06328643204992539,0.0004173269914802076,0.05798806162435316,0.03311352021447946,140,3,11.0,265.0,1.0,3.7,4.166666666666667,-0.408248290463863,-0.233549683248457
241,-0.00624149880678638,0.004769251404622978,0.025530332826365052,0.047634904302348804,141,3,2.0,0.0,1.0,4.3,4.416666666666667,0.612372435695795,0.87831006565368
248,0.04195578019993757,-0.016284129687022156,0.0038515589677310226,-0.007336260278178629,144,1,4.0,1592.0,1.0,3.7,4.083333333333333,-0.514495755427527,-0.29277002188456
249,-0.01767266582917917,0.009034920476005718,0.018945191034388516,-0.00949663751666042,145,1,3.0,472.0,1.0,3.8,3.6666666666666665,-0.133630620956212,0.790569415042095
252,0.04573581950158504,-0.008652681053596577,0.06957644817743112,0.008584698560109513,146,1,5.0,719.0,1.0,3.1,3.5833333333333335,0.467707173346743,0.242535625036333
253,-0.006900085455162082,0.016059330975553978,-0.005543858660985758,-0.010395191521244032,146,2,6.0,1006.0,0.0,3.0,3.5833333333333335,-0.0800640769025435,0.547722557505166
254,-0.023493499960057743,0.03547505454633356,0.0257570548199854,0.03440642154074815,147,1,7.0,230.0,0.0,4.2,4.333333333333333,-0.583333333333333,1.0
256,0.007528923944884121,0.002993240496806102,-0.05028419921136102,0.010575143963298813,148,1,8.0,641.0,1.0,3.6,3.6666666666666665,0.166666666666667,0.87831006565368
257,-0.013649002828994505,0.07578880210953513,0.12394847342201165,0.024123548900897664,148,2,10.0,289.0,0.0,3.8,4.0,-0.408248290463863,0.866025403784439
262,-0.016219469211757338,0.012986160736724643,-0.017143675325950812,-0.015348315588504195,150,1,4.0,528.0,1.0,2.6,4.0,0.30012252399939,0.522232967867094
263,0.005599061192793131,-0.06514950113553464,-0.031613545887456226,-0.014890980811980446,150,2,5.0,180.0,0.0,2.4,3.8333333333333335,0.166666666666667,0.930857404257136
264,0.06499037982186588,-0.1469161281175663,-0.03859054091256608,0.04978769762599392,150,3,3.0,179.0,0.0,2.5,4.166666666666667,0.327326835353989,0.790569415042095
267,-0.026998566200851438,-0.003503525469881742,0.007468995993947521,0.021658442712734226,152,1,8.0,409.0,0.0,3.3,4.166666666666667,-0.25,0.943275552432877
272,-0.06458591584136074,-0.09997759361157228,-0.13812308027901685,-0.03388346985355023,153,3,2.0,236.0,0.0,4.2,4.25,-0.612372435695795,0.968329663731489
274,-0.006253719671368514,-0.015377685393256985,0.04298396888355769,-0.03852507525555151,156,2,2.0,921.0,1.0,3.1,3.6666666666666665,0.0,0.94299033358289
275,-0.002806970376520312,-0.0034814822831463546,0.024510970647201213,-0.015390318991623646,156,3,6.0,745.0,0.0,3.4,4.333333333333333,-0.612372435695795,0.863636363636364
276,-0.004379975252936956,0.10284895675754008,0.021332219890652034,0.04083666736371408,158,1,7.0,787.0,0.0,4.4,4.25,-0.666666666666667,0.968329663731489
277,-0.012238878568893432,0.018108530581703725,0.09452482566215888,0.0009338894647526046,158,2,7.0,246.0,0.0,4.6,4.166666666666667,0.408248290463863,0.922077922077922
280,-0.16045450863525332,-0.07080509288597951,0.037423512013138385,-0.09014345142385176,159,3,3.0,220.0,0.0,1.9,2.8333333333333335,-0.25,-0.0969762275752854
281,-0.03756981553751153,0.36915426869472345,0.1313000411425026,-0.04961229933738823,160,1,0.0,333.0,1.0,4.2,3.6666666666666665,-0.228217732293819,-0.29277002188456
282,0.03520216486672592,0.021088306541001956,0.032023282894597584,0.06692474813841244,160,2,8.0,424.0,0.0,4.1,4.0,0.939336436627724,0.662266178532522
283,-0.0026630684001606396,0.12751918800651024,0.13313519791430156,0.12669357116012472,160,3,3.0,400.0,1.0,4.3,4.333333333333333,0.25,-0.447213595499958
284,0.03207369378198853,0.02104672071238085,0.06978563447621869,0.04893642346233877,161,1,1.0,214.0,1.0,4.4,4.416666666666667,0.6875,0.29277002188456
285,0.004522417704239462,-0.01992424433989803,0.055989064114771565,0.01820958892708656,161,3,2.0,282.0,1.0,4.5,4.25,0.918558653543692,0.58131835897618
287,0.01174671604137927,0.02105114570589915,-0.03926848787467602,0.00758654369354617,163,2,7.0,355.0,0.0,3.8,4.083333333333333,0.872871560943969,0.58131835897618
288,-0.018320461500909994,0.12830474727525354,0.0763128109897049,0.08553812826155688,164,1,4.0,412.0,1.0,2.7,3.25,-0.133630620956212,0.218217890235992
