,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
140,-0.029181681029978937,0.10942156842992082,-0.003545875109835196,-0.02321407374521717,96,3,7.0,279.0,0.0,3.0,4.166666666666667,0.666666666666667,0.632455532033676
141,0.008943351578791664,0.07639828432753842,0.043684533281057064,0.05843509341614265,97,1,11.0,822.0,1.0,3.3,3.75,0.490098029409803,0.755928946018454
143,-0.15933127206692688,-0.11945193827281153,0.4080226464633481,-0.22339829749870094,97,3,11.0,323.0,0.0,4.5,4.083333333333333,0.408248290463863,0.797724035217466
144,0.023284660636968952,0.11272082224609051,-0.010794099027870093,0.0010064479289920258,98,1,5.0,455.0,1.0,2.8,3.8333333333333335,-0.218217890235992,0.0
147,-0.013737393503117033,0.004443532704790456,0.013041750104721413,-0.04085329728150447,99,3,6.0,333.0,0.0,2.8,3.8333333333333335,-0.408248290463863,-0.447213595499958
148,-0.007815755435634758,-0.012939200615430317,-0.0068490610502122415,-0.006663853638948926,100,1,4.0,876.0,0.0,3.1,3.9166666666666665,-0.559016994374947,0.373001923296126
149,-0.0026035185482554592,-0.006177815981257234,-0.004802915423327325,0.0002784989471921552,100,2,4.0,497.0,1.0,3.5,3.9166666666666665,0.0714285714285715,0.920157538397846
150,0.027376999955684177,0.04290307882476677,-0.11457389622119687,0.026483980390578234,101,1,2.0,292.0,1.0,3.0,3.3333333333333335,0.408248290463863,0.372104203767625
154,0.0009392141064159463,-0.028294400904791687,0.01338981880590781,0.042030314316804,103,1,10.0,564.0,1.0,4.5,4.166666666666667,0.25,0.647058823529412
158,0.0326112082926838,-0.03181335659555939,-0.016299504079556104,-0.040287574730646626,106,1,9.0,515.0,1.0,3.2,2.8333333333333335,-0.327326835353989,0.175411603861406
159,0.003609891772708784,-0.0029864617535612006,0.0035686837423802736,0.031940921624864484,106,2,7.0,389.0,0.0,2.8,3.8333333333333335,-0.559016994374947,-0.746202507244637
161,-0.05248507209868023,0.039718114248355425,-0.19129871296475698,-0.1492643775363337,107,1,4.0,933.0,1.0,3.7,3.0833333333333335,0.612372435695795,-0.87831006565368
162,-0.0084264864167635,0.026867663369417892,0.023632167279504627,-0.013685908407034587,107,2,9.0,504.0,1.0,4.2,3.9166666666666665,-0.25,0.2
166,0.005937101805088432,0.021180131491395453,-0.027519769119617243,-0.011689611176698025,110,1,5.0,791.0,1.0,3.9,4.166666666666667,0.790569415042095,0.447213595499958
167,0.005437098133111154,0.04305479496481969,-0.00543707594024849,-0.0019051096647706165,110,2,3.0,606.0,0.0,3.8,4.083333333333333,-0.133630620956212,0.316227766016838
169,-0.04807238285055783,-0.11381015653848439,-0.08758129334916498,-0.047584988362067156,111,2,3.0,224.0,1.0,3.2,3.3333333333333335,0.666666666666667,0.426401432711221
170,0.036484252049167776,0.09122021868680084,0.004888085793342369,-0.007024678977998178,112,1,5.0,378.0,0.0,3.1,4.5,0.243975018237133,0.790569415042095
171,-0.0021861823009101692,0.029565993625475174,0.013865385861416314,-0.030262282906625644,112,2,8.0,299.0,0.0,3.8,4.166666666666667,0.645497224367903,0.635708491746199
174,-0.016075004412957127,-0.045972466558777444,-0.06479131916155187,0.004262907114481024,114,1,0.0,533.0,1.0,3.5,3.8333333333333335,-0.642857142857143,-0.29277002188456
175,0.0012206343037158337,-0.04361201412038856,0.011053210211437403,-0.02975758206965183,114,3,2.0,298.0,0.0,4.1,3.75,-0.872871560943969,0.552157630374233
176,-0.002981552412687762,0.02066764848395633,-0.03425556826441707,-0.0017637088196096238,115,1,6.0,775.0,1.0,3.6,3.1666666666666665,0.166666666666667,0.447213595499958
177,-0.0235956099582478,-0.1678662104199713,-0.21835490112063818,0.1522512722487779,115,2,6.0,426.0,1.0,3.5,3.5,0.801783725737273,0.0
179,-0.03876788994604699,-0.049885356899619475,-0.04687413379946812,0.013023134167617799,116,3,8.0,233.0,1.0,4.3,4.083333333333333,-0.133630620956212,0.969861226038888
180,0.010080636261431396,-0.007987206825232282,-0.043540446925673826,-0.009975808561948954,117,1,11.0,699.0,1.0,4.6,4.083333333333333,0.166666666666667,0.632455532033676
183,-0.020805840225100524,-0.09523216084522843,-0.023140587917485387,0.009246863506376653,118,1,0.0,189.0,1.0,3.0,3.5,-1.0,-0.0790569415042095
184,-0.01757863284375172,-0.0018278997581564886,-0.007593567645896439,-0.01922988274606164,118,2,0.0,143.0,1.0,3.1,3.75,0.0,0.656532164298613
185,-0.0033922968666313513,-0.0066160904571906974,-0.010450795825463849,0.020016891009930943,118,3,4.0,419.0,1.0,3.1,3.6666666666666665,0.0,0.557086014531156
186,-0.007964685946426223,0.011831280400624472,-0.026578996923885632,0.02254617526431941,119,1,2.0,316.0,1.0,3.4,3.5833333333333335,0.196116135138184,0.0
188,0.040130022026099825,-0.011541182744266992,0.05332354194007262,-0.032464358521845316,119,3,2.0,408.0,0.0,3.4,3.6666666666666665,0.196116135138184,0.78086880944303
189,-0.062389643272795385,0.005683737058683375,-0.021682288214025746,-0.027733652526207245,120,3,6.0,190.0,1.0,3.8,4.25,0.645497224367903,0.968329663731489
190,0.01575330941140752,0.021140854090288597,0.01583466842773345,0.018332325648139483,121,1,4.0,393.0,0.0,3.2,3.25,0.279508497187474,0.52522573143889
191,0.05649923025191813,0.1981042738309535,0.03816726571838632,0.08663026958786268,121,3,9.0,298.0,0.0,3.7,3.6666666666666665,-0.166666666666667,1.0
195,-0.013145923769005821,-0.009656957526240706,-0.006598152181166928,-0.03080159282153045,125,1,7.0,600.0,1.0,3.2,4.083333333333333,0.642857142857143,0.29277002188456
196,0.01153941598068299,-0.010715422137121471,0.062413674186573787,0.0069123642820320495,125,3,6.0,601.0,1.0,3.5,4.166666666666667,0.666666666666667,0.254823595718813
197,0.018869375552140782,0.021125914040300665,0.005846759632602458,0.0004625688825305332,126,1,5.0,555.0,1.0,3.3,3.6666666666666665,0.294174202707276,0.850962943396763
201,0.0025462378655552033,-0.010646855250142686,-0.0081277384520791,0.006636735780239685,128,2,8.0,504.0,1.0,3.2,3.9166666666666665,0.0,-0.462910049886276
203,-0.04275147791422889,-0.16428188254418094,-0.12708517349120574,0.07187633766752972,129,1,6.0,357.0,1.0,3.3,4.083333333333333,-0.133630620956212,0.177997663795994
206,-0.05904133939683582,-0.04986820243348164,-0.13415825316132457,-0.009019173517849824,130,1,3.0,728.0,1.0,3.6,4.416666666666667,0.166666666666667,1.0
207,0.001901928885345236,-0.011064986744584076,0.009223407148045393,0.03137574855385312,130,2,7.0,424.0,0.0,3.7,4.25,0.612372435695795,0.968329663731489
